Date,Open,High,Low,Adjclose,Value,Volume,Count,Yesterday,Close,Jdate,RSI,EMA20,EMA100,EMA150
2009-10-31,1367.0,1367.0,1367.0,1334.0,144902000,106000,38,1328.0,1367.0,1388-08-09,69.48903131122069,1270.966502893256,1479.7149010570927,1701.0466666666666
2009-11-01,1374.0,1374.0,1374.0,1338.0,113355000,82500,35,1334.0,1374.0,1388-08-10,70.21334863597633,1280.779216903422,1477.6215366797246,1696.7149227373068
2009-11-02,1378.0,1378.0,1378.0,1342.0,114346440,82980,30,1338.0,1378.0,1388-08-11,70.63269731792585,1290.038339103096,1475.6488329830963,1692.4935330321769
2009-11-03,1382.0,1382.0,1382.0,1348.0,143728000,104000,23,1342.0,1382.0,1388-08-12,71.06154720733845,1298.7965925218487,1473.7944006467974,1688.3810359059228
2009-11-04,1388.0,1388.0,1388.0,1353.0,123185000,88750,29,1348.0,1388.0,1388-08-13,71.71375237527204,1307.2921551388154,1472.0955016240885,1684.402479138957
2009-11-07,1400.0,1400.0,1400.0,1357.0,81900000,58500,20,1353.0,1400.0,1388-08-16,72.99507443449845,1316.1214736970235,1470.667867928562,1680.6355588854608
2009-11-08,1404.0,1404.0,1404.0,1362.0,106353000,75750,21,1357.0,1404.0,1388-08-17,73.41758017760213,1324.4908571544497,1469.3477121279964,1676.971511747905
2009-11-09,1409.0,1409.0,1409.0,1366.0,90176000,64000,21,1362.0,1409.0,1388-08-18,73.9537728366246,1332.539346949264,1468.152707927442,1673.422220201575
2009-11-10,1413.0,1413.0,1413.0,1370.0,92410200,65400,22,1366.0,1413.0,1388-08-19,74.38880619052242,1340.2022662874292,1467.0605750971956,1669.972919271753
2009-11-11,1417.0,1417.0,1417.0,1375.0,123279000,87000,29,1370.0,1417.0,1388-08-20,74.83130772106128,1347.516336164817,1466.0692765804195,1666.6222845794118
2009-11-14,1423.0,1423.0,1423.0,1381.0,124526730,87510,30,1375.0,1423.0,1388-08-23,75.49968889295268,1354.7052565300726,1465.216419618431,1663.3954993531945
2009-11-15,1429.0,1429.0,1429.0,1388.0,151474000,106000,35,1381.0,1429.0,1388-08-24,76.16594005348718,1361.7809463843514,1464.4992627943036,1660.290923202821
2009-11-16,1436.0,1436.0,1436.0,1394.0,145766924,101509,27,1388.0,1436.0,1388-08-25,76.93617101610674,1368.8494276810798,1463.9349209567927,1657.320182498148
2009-11-17,1442.0,1442.0,1442.0,1398.0,89259800,61900,19,1394.0,1442.0,1388-08-26,77.58960550355557,1375.8161488543103,1463.5005660863612,1654.4682595511526
2009-11-18,1446.0,1446.0,1446.0,1401.0,65070000,45000,15,1398.0,1446.0,1388-08-27,78.0264787371198,1382.5003251539,1463.154020223265,1651.7070905504752
2009-11-21,1450.0,1450.0,1450.0,1411.0,224187400,154612,31,1401.0,1450.0,1388-08-30,78.46831399403978,1388.9288656154333,1462.8935445752795,1649.0354734570915
2009-11-22,1460.0,1460.0,1442.0,1460.0,2480244620,1698847,148,1411.0,1460.0,1388-09-01,79.55040035522096,1395.69754508063,1462.8362466628978,1646.5316923516996
2009-11-23,1490.0,1511.0,1452.0,1506.0,1943408300,1290350,112,1460.0,1511.0,1388-09-02,83.89532635707288,1406.6787312634272,1463.7899843527414,1644.736570598697
2009-11-24,1558.0,1558.0,1558.0,1523.0,375555900,241050,48,1506.0,1558.0,1388-09-03,86.64743908534297,1421.0902806669103,1465.6555292170435,1643.5877418490454
2009-11-25,1576.0,1576.0,1576.0,1535.0,271229600,172100,56,1523.0,1576.0,1388-09-04,87.50802908809136,1435.8435872700618,1467.8405682424486,1642.6925399702502
2009-11-29,1588.0,1588.0,1576.0,1588.0,4266443353,2687005,227,1535.0,1588.0,1388-09-08,88.04857972475611,1450.3346741967225,1470.219962930717,1641.968135467333
2009-11-30,1643.0,1643.0,1623.0,1643.0,4056687302,2469114,182,1588.0,1643.0,1388-09-09,90.11272346980004,1468.6837528446538,1473.641349803376,1641.981802547236
