Date,Open,High,Low,Adjclose,Value,Volume,Count,Yesterday,Close,Jdate,RSI,EMA20,EMA100,EMA150
2007-10-29,8252.0,8469.0,8252.0,8266.0,50789716124,6143965,780,8420.0,8266.0,1386-08-07,47.76039941367756,8654.161149313954,7109.466829457422,6025.5
2007-10-30,8240.0,8431.0,8140.0,8356.0,22491955322,2691694,663,8266.0,8356.0,1386-08-08,50.01453057837059,8625.764849379291,7134.150654616681,6056.367549668874
2007-10-31,8496.0,8499.0,8189.0,8281.0,18966117882,2287460,608,8356.0,8281.0,1386-08-09,48.19048461380439,8592.930101819358,7156.860542644074,6085.832880136836
2007-11-03,8116.0,8208.0,8116.0,8208.0,8329151428,1026263,37,8281.0,8208.0,1386-08-12,46.45465608553486,8556.270092122277,7177.675185363993,6113.941053909858
2007-11-04,8044.0,8066.0,8044.0,8066.0,16119709668,2003942,68,8208.0,8066.0,1386-08-13,43.26376679807743,8509.577702396346,7195.265775752824,6139.796139288535
2007-11-05,7905.0,8060.0,7905.0,8060.0,630456920,79754,13,8066.0,8060.0,1386-08-14,43.131995344373166,8466.760778358599,7212.389225737917,6165.229303006568
2007-11-07,7899.0,8055.0,7899.0,8055.0,512504478,64882,15,8060.0,8055.0,1386-08-16,43.01706546861608,8427.54546613397,7229.074587604492,6190.2593784634355
2007-11-10,7894.0,8051.0,7894.0,8051.0,436745014,55326,8,8055.0,8051.0,1386-08-19,42.92075641032084,8391.68399316883,7245.350338344997,6214.904949609615
2007-11-11,7890.0,8048.0,7890.0,8048.0,376985780,47780,4,8051.0,8048.0,1386-08-20,42.84502702441067,8358.952184295607,7261.2443910510365,6239.184354250548
2007-11-12,7888.0,8045.0,7888.0,8045.0,398148370,50475,7,8048.0,8045.0,1386-08-21,42.765600047556156,8329.051976267454,7276.764304099531,6263.102442273719
2007-11-13,7885.0,8041.0,7885.0,8041.0,451961875,57319,18,8045.0,8041.0,1386-08-22,42.65461900248116,8301.618454718173,7291.897684216372,6286.650754296584
2007-11-26,7881.0,8041.0,7881.0,8041.0,4446484,564,3,8041.0,8041.0,1386-09-05,42.65461900248116,8276.797649506918,7306.73139343981,6309.88716814696
2007-11-27,7881.0,8041.0,7881.0,8041.0,8040220,1020,2,8041.0,8041.0,1386-09-06,42.65461900248116,8254.34073050626,7321.271365846942,6332.81581492647
2007-11-28,7881.0,8041.0,7881.0,8041.0,4225816,536,4,8041.0,8041.0,1386-09-07,42.654619002481155,8234.02256569614,7335.523418008389,6355.440771020159
2007-12-01,7881.0,8041.0,7881.0,8041.0,553270,70,2,8041.0,8041.0,1386-09-10,42.65461900248116,8215.63946420127,7349.493251315153,6377.766058821217
2007-12-02,7881.0,7881.0,7881.0,7881.0,1434342,182,3,8041.0,7881.0,1386-09-11,37.60927106875466,8183.769039039244,7360.0181374277245,6397.6764421480875
2007-12-03,7724.0,7724.0,7724.0,7724.0,610196000,79000,7,7881.0,7724.0,1386-09-12,33.51463244004833,8139.981511511696,7367.225699062819,6415.243641589835
2007-12-05,7570.0,7570.0,7570.0,7570.0,8875461640,1172452,65,7724.0,7570.0,1386-09-14,30.12785723953355,8085.6975580343915,7371.241031754645,6430.538427793943
2007-12-08,7419.0,7570.0,7419.0,7570.0,51185191,6899,4,7570.0,7570.0,1386-09-17,30.127857239533544,8036.583504888259,7375.176852908018,6445.630634048328
2007-12-09,7419.0,7564.0,7419.0,7564.0,676762630,91220,14,7570.0,7564.0,1386-09-18,29.996995410564008,7991.575552041758,7378.9159251276615,6460.443473332456
2007-12-10,7413.0,7477.0,7413.0,7477.0,9856251310,1329590,87,7564.0,7477.0,1386-09-19,28.131951754762458,7942.568356609209,7380.858184036025,6473.9077981889795
2007-12-11,7328.0,7477.0,7328.0,7477.0,16592082,2264,4,7477.0,7477.0,1386-09-20,28.13195175476246,7898.228513122618,7382.761982371945,6487.19378761694
2007-12-15,7328.0,7477.0,7328.0,7477.0,2273170,310,3,7477.0,7477.0,1386-09-24,28.13195175476246,7858.111511872845,7384.628081730916,6500.303803674994
